epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1044.85,0.71037,0.39817,0.97308,0.95628,0.92078,0.97864,0.73853,0.86765,0.49094,1.04759,0.000325526,0.000325526,0.000325526
80,1058.91,0.72468,0.39666,0.98878,0.96232,0.9018,0.97405,0.72501,0.87938,0.50101,1.04385,0.000311379,0.000311379,0.000311379
81,1071.26,0.71076,0.39353,0.96809,0.96339,0.89603,0.97848,0.72714,0.89111,0.50427,1.04815,0.000297232,0.000297232,0.000297232
82,1084.29,0.7226,0.39717,0.98214,0.95481,0.91987,0.97648,0.73993,0.81772,0.49225,1.03553,0.000283085,0.000283085,0.000283085
83,1098.2,0.72638,0.40285,0.97712,0.96075,0.90934,0.9771,0.74445,0.83648,0.49847,1.04671,0.000268938,0.000268938,0.000268938
84,1111.87,0.7045,0.38963,0.96661,0.95505,0.90528,0.97959,0.72936,0.89058,0.49597,1.06274,0.000254791,0.000254791,0.000254791
85,1124.31,0.7151,0.39491,0.98433,0.95408,0.90369,0.97707,0.74455,0.82452,0.48303,1.04258,0.000240644,0.000240644,0.000240644
86,1136.83,0.70219,0.38636,0.97007,0.95037,0.90467,0.97079,0.73061,0.87636,0.49781,1.06343,0.000226497,0.000226497,0.000226497
87,1151.03,0.70017,0.39189,0.97426,0.93425,0.90659,0.97677,0.74067,0.81052,0.4826,1.0409,0.000212349,0.000212349,0.000212349
88,1163.78,0.67847,0.3859,0.96205,0.94741,0.89599,0.97631,0.73073,0.85622,0.48795,1.05464,0.000198202,0.000198202,0.000198202
89,1175.78,0.67872,0.39247,0.96189,0.94753,0.90449,0.97424,0.74071,0.82762,0.47895,1.04589,0.000184055,0.000184055,0.000184055
90,1188.5,0.69276,0.38376,0.96187,0.95588,0.906,0.97912,0.73797,0.84011,0.47776,1.0448,0.000169908,0.000169908,0.000169908
91,1206.93,0.60071,0.32355,0.91337,0.95541,0.91871,0.98068,0.74319,0.84524,0.46827,1.05213,0.000155761,0.000155761,0.000155761
92,1220.58,0.5998,0.32231,0.91752,0.93258,0.94553,0.982,0.74421,0.85404,0.45943,1.05945,0.000141614,0.000141614,0.000141614
93,1233.5,0.58231,0.31046,0.90668,0.94438,0.94695,0.98223,0.74672,0.84192,0.44868,1.05028,0.000127467,0.000127467,0.000127467
94,1245.39,0.59739,0.31446,0.9167,0.95429,0.94068,0.98137,0.7533,0.81753,0.44676,1.03759,0.00011332,0.00011332,0.00011332
95,1258.19,0.573,0.30732,0.8987,0.95818,0.92266,0.97988,0.75134,0.83412,0.45572,1.04484,9.91726e-05,9.91726e-05,9.91726e-05
96,1271.66,0.58238,0.30839,0.89826,0.95876,0.9246,0.9814,0.75461,0.83326,0.44953,1.04595,8.50255e-05,8.50255e-05,8.50255e-05
97,1285.41,0.57631,0.30583,0.90324,0.95889,0.92731,0.98154,0.75774,0.80764,0.4356,1.03976,7.08784e-05,7.08784e-05,7.08784e-05
98,1298.03,0.56786,0.30348,0.89372,0.96186,0.92091,0.98135,0.7461,0.85078,0.44525,1.05192,5.67313e-05,5.67313e-05,5.67313e-05
99,1310.31,0.56859,0.30235,0.90501,0.96264,0.91501,0.98187,0.75797,0.81052,0.44164,1.04146,4.25842e-05,4.25842e-05,4.25842e-05
100,1324.63,0.56943,0.30632,0.89571,0.96326,0.91501,0.98178,0.76234,0.8006,0.44122,1.03911,2.84371e-05,2.84371e-05,2.84371e-05
