epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,683.637,0.75321,0.50392,0.98388,0.83311,0.90324,0.85315,0.67581,0.83257,0.59647,1.02138,0.000594321,0.000594321,0.000594321
61,695.24,0.74275,0.49321,0.9734,0.85674,0.8536,0.86304,0.6475,0.92227,0.61456,1.03653,0.000580174,0.000580174,0.000580174
62,706.23,0.71422,0.47372,0.97417,0.83771,0.86194,0.85036,0.65927,0.89538,0.62381,1.04126,0.000566027,0.000566027,0.000566027
63,718.073,0.71331,0.4682,0.96105,0.81145,0.86571,0.84335,0.65938,0.84398,0.65191,1.02341,0.00055188,0.00055188,0.00055188
64,729.63,0.71124,0.47311,0.95902,0.83604,0.86626,0.85644,0.66385,0.87864,0.65787,1.04249,0.000537733,0.000537733,0.000537733
65,741.149,0.72605,0.47797,0.97197,0.88265,0.85276,0.84039,0.65915,0.86258,0.66332,1.05182,0.000523586,0.000523586,0.000523586
66,751.376,0.72488,0.48011,0.97739,0.8537,0.88399,0.87183,0.60958,1.02555,0.69815,1.06397,0.000509438,0.000509438,0.000509438
67,764.013,0.69663,0.46508,0.95686,0.8624,0.88447,0.87766,0.67487,0.81839,0.63295,1.00458,0.000495291,0.000495291,0.000495291
68,775.347,0.70183,0.47575,0.96373,0.81732,0.9036,0.87455,0.69766,0.81439,0.62954,1.01804,0.000481144,0.000481144,0.000481144
69,786.529,0.69696,0.46328,0.96527,0.8726,0.85321,0.86688,0.66465,0.88112,0.66127,1.01641,0.000466997,0.000466997,0.000466997
70,796.371,0.69721,0.45778,0.96745,0.83374,0.86113,0.81024,0.64349,0.79729,0.72011,0.9986,0.00045285,0.00045285,0.00045285
71,808.091,0.68992,0.45583,0.96346,0.84188,0.86776,0.82915,0.6449,0.7767,0.7177,0.98136,0.000438703,0.000438703,0.000438703
72,820.032,0.67239,0.45653,0.95051,0.82205,0.88395,0.8181,0.62774,0.821,0.71355,0.99976,0.000424556,0.000424556,0.000424556
73,832.014,0.6963,0.45673,0.95813,0.82629,0.87179,0.82487,0.60665,0.95183,0.74493,1.02679,0.000410409,0.000410409,0.000410409
74,843.391,0.66976,0.46047,0.94766,0.82974,0.85002,0.82256,0.63379,0.83512,0.7258,1.00693,0.000396262,0.000396262,0.000396262
75,854.557,0.71053,0.46039,0.96621,0.84922,0.82367,0.8248,0.66797,0.77754,0.7125,0.99728,0.000382115,0.000382115,0.000382115
76,865.95,0.68774,0.44369,0.95542,0.86023,0.82863,0.84966,0.67243,0.83146,0.69922,1.02619,0.000367967,0.000367967,0.000367967
77,876.581,0.68392,0.4552,0.95814,0.86811,0.84406,0.85288,0.64378,0.90762,0.7167,1.04596,0.00035382,0.00035382,0.00035382
78,886.499,0.6731,0.44678,0.95459,0.86392,0.82475,0.86792,0.67985,0.83825,0.66191,1.00951,0.000339673,0.000339673,0.000339673
79,898.955,0.665,0.44985,0.9412,0.83515,0.85842,0.85224,0.66798,0.79135,0.685,1.00096,0.000325526,0.000325526,0.000325526
80,910.77,0.66121,0.44137,0.94474,0.86694,0.84551,0.8552,0.68331,0.79093,0.67763,1.003,0.000311379,0.000311379,0.000311379
